time,open,high,low,close,volume
2025-10-28 12:35:00+00:00,59941.730507252236,60014.89456109055,59941.730507252236,60014.89456109055,4.949898038816375
2025-10-28 12:40:00+00:00,60026.78629403067,60026.78629403067,59938.93752461357,59972.4326495358,8.38006738879436
2025-10-28 12:45:00+00:00,59950.4985272818,59968.44351069018,59942.501220157654,59958.521254447376,7.0770814731348475
2025-10-28 12:50:00+00:00,60078.23266043106,60078.23266043106,59995.442477884506,59999.08166848892,3.683551424900209
2025-10-28 12:55:00+00:00,60030.407282547916,60060.91759343723,60015.16324250637,60015.16324250637,4.991889875002692
2025-10-28 13:00:00+00:00,59943.44186544296,59994.95922467681,59943.44186544296,59953.823672932216,8.148777779900852
2025-10-28 13:05:00+00:00,60001.06810109293,60020.635441600345,59972.92700654615,59999.098140640286,6.996912545928456
2025-10-28 13:10:00+00:00,59983.812910429486,60018.63203140608,59983.812910429486,60015.32238416017,4.622209567869233
2025-10-28 13:15:00+00:00,59971.97119456295,60013.36658666784,59965.66760953081,59992.16154796793,4.577332562592811
2025-10-28 13:20:00+00:00,59948.199441299395,60000.95072302136,59948.199441299395,59984.16665533765,1.8351583065776187
2025-10-28 13:25:00+00:00,59986.73653609428,60021.30110774432,59985.74835721283,60008.58660896229,6.361156271879846
2025-10-28 13:30:00+00:00,59975.75306173887,59989.27183231385,59929.8883769302,59939.22410864458,6.440049183264311
2025-10-28 13:35:00+00:00,60047.35425710411,60047.35425710411,59974.65142777799,59974.65142777799,2.5100474126217587
2025-10-28 13:40:00+00:00,60036.323031809894,60054.79098352642,60027.60923090324,60033.55849665279,7.076283463812566
2025-10-28 13:45:00+00:00,60109.18372888623,60141.77694247241,60090.280437613335,60090.280437613335,3.5689546219145822
2025-10-28 13:50:00+00:00,60103.88763347723,60193.44413017222,60103.88763347723,60159.293235348334,7.458519060072657
2025-10-28 13:55:00+00:00,60215.42789021789,60215.42789021789,60134.35987405246,60144.38734967531,3.6164310707264353
2025-10-28 14:00:00+00:00,60231.953315131825,60231.953315131825,60198.0193209008,60207.13928005713,4.345007179090188
2025-10-28 14:05:00+00:00,60273.6781936839,60273.6781936839,60229.96213608703,60236.64938214076,5.18316078646052
2025-10-28 14:10:00+00:00,60173.1767103612,60218.99814012874,60173.1767103612,60218.99814012874,4.625372831110389
2025-10-28 14:15:00+00:00,60327.31702205767,60337.28925813197,60257.224490507186,60257.224490507186,3.1954795923448676
2025-10-28 14:20:00+00:00,60310.626057653324,60324.412830885616,60281.52509597959,60294.016323719254,7.175002927186044
2025-10-28 14:25:00+00:00,60401.30706217781,60424.50252993868,60360.07107753367,60376.00384144805,5.955452465868359
2025-10-28 14:30:00+00:00,60349.686560247006,60446.42359356003,60349.686560247006,60446.42359356003,10.22600670068896
2025-10-28 14:35:00+00:00,60390.58261482604,60446.76549430689,60360.35894259133,60434.87527384441,1.9203603470151025
2025-10-28 14:40:00+00:00,60468.2318421056,60500.07379765701,60462.158247750085,60467.63204342736,3.1727547900285717
2025-10-28 14:45:00+00:00,60480.706967874285,60499.75197660626,60470.87955357346,60499.75197660626,15.2145051158605
2025-10-28 14:50:00+00:00,60481.28454231725,60550.21337556859,60481.28454231725,60528.829649672916,9.7265579352301
2025-10-28 14:55:00+00:00,60534.24720499979,60562.13843556722,60530.34904348286,60533.92013904414,3.846963141722113
2025-10-28 15:00:00+00:00,60605.68768287304,60654.9598216353,60593.77709662903,60629.59666324896,4.143121439807897
2025-10-28 15:05:00+00:00,60518.62712610673,60620.08303560206,60518.62712610673,60620.08303560206,6.145132677490084
2025-10-28 15:10:00+00:00,60620.17534426026,60718.821510841575,60620.17534426026,60718.821510841575,3.1117602893068055
2025-10-28 15:15:00+00:00,60675.87884164768,60682.10331727905,60664.4757562549,60670.00504889436,6.635439114361913
2025-10-28 15:20:00+00:00,60634.26568037202,60693.87317985723,60634.26568037202,60670.848252353135,5.5821807537684895
2025-10-28 15:25:00+00:00,60765.69764884165,60765.69764884165,60723.12016624447,60723.12016624447,9.704941954790508
